ac002d2,ac002d3,ac002d1,mergeid
0.0,0.0,0.0,AT-330902-02
0.0,0.0,0.0,AT-330952-01
0.0,0.0,0.0,AT-330952-02
1.0,0.0,0.0,AT-331114-01
0.0,0.0,0.0,AT-336111-01
0.0,0.0,0.0,AT-336204-01
0.0,0.0,0.0,AT-336293-01
1.0,0.0,0.0,AT-336845-01
1.0,0.0,0.0,AT-338362-01
1.0,0.0,0.0,AT-338530-01
0.0,1.0,0.0,AT-339896-01
0.0,0.0,0.0,AT-339941-01
0.0,0.0,0.0,AT-340055-01
0.0,0.0,0.0,AT-340575-01
0.0,0.0,0.0,AT-340580-01
0.0,1.0,0.0,AT-340580-02
1.0,1.0,0.0,AT-341915-01
0.0,1.0,0.0,AT-341923-01
1.0,0.0,0.0,AT-341944-01
0.0,0.0,0.0,AT-341944-02
1.0,1.0,0.0,AT-343923-01
0.0,0.0,0.0,AT-344989-01
0.0,0.0,0.0,AT-345001-01
0.0,0.0,0.0,AT-346126-01
0.0,0.0,0.0,AT-346825-01
0.0,0.0,0.0,AT-346825-02
0.0,0.0,0.0,AT-348695-01
0.0,0.0,0.0,AT-349006-01
0.0,0.0,0.0,AT-349006-02
0.0,0.0,0.0,AT-349553-01
0.0,0.0,0.0,AT-349553-02
0.0,0.0,0.0,AT-349634-01
0.0,0.0,0.0,AT-349634-02
0.0,1.0,0.0,AT-350027-01
1.0,0.0,0.0,AT-350246-01
0.0,0.0,1.0,AT-351201-01
0.0,1.0,0.0,AT-352901-01
0.0,1.0,0.0,AT-352901-02
0.0,1.0,0.0,AT-356107-01
1.0,0.0,0.0,AT-358322-01
0.0,0.0,0.0,AT-358519-01
0.0,1.0,0.0,AT-359210-01
0.0,0.0,0.0,AT-359210-02
0.0,0.0,0.0,AT-359386-01
0.0,0.0,0.0,AT-359830-01
0.0,0.0,0.0,AT-359830-02
0.0,0.0,0.0,AT-360275-01
0.0,0.0,0.0,AT-361309-01
0.0,1.0,0.0,AT-361591-01
0.0,0.0,0.0,AT-361819-01
1.0,0.0,0.0,AT-363760-01
0.0,0.0,0.0,AT-363776-01
0.0,0.0,1.0,AT-365495-01
0.0,0.0,0.0,AT-365992-01
0.0,0.0,0.0,AT-366334-01
0.0,0.0,0.0,AT-366420-01
0.0,0.0,0.0,AT-368452-01
0.0,0.0,0.0,AT-368452-02
0.0,0.0,0.0,AT-368971-01
0.0,0.0,0.0,AT-368971-02
0.0,0.0,0.0,AT-371279-01
1.0,1.0,0.0,AT-372057-01
0.0,0.0,0.0,AT-372614-01
0.0,0.0,0.0,AT-373552-01
0.0,0.0,0.0,AT-373586-01
0.0,1.0,0.0,AT-373876-01
0.0,0.0,0.0,AT-375044-01
0.0,0.0,0.0,AT-375211-01
0.0,0.0,0.0,AT-375912-01
0.0,0.0,0.0,AT-376288-01
0.0,0.0,0.0,AT-377916-01
0.0,1.0,0.0,AT-377928-01
0.0,1.0,0.0,AT-377928-02
0.0,0.0,0.0,AT-377928-03
0.0,0.0,0.0,AT-378071-01
0.0,0.0,0.0,AT-380297-01
1.0,0.0,0.0,AT-380297-02
0.0,0.0,0.0,AT-380963-01
0.0,0.0,0.0,AT-380963-02
0.0,0.0,0.0,AT-381086-01
0.0,1.0,1.0,AT-381086-02
0.0,0.0,0.0,AT-382397-01
0.0,0.0,0.0,AT-382397-02
1.0,1.0,0.0,AT-383087-01
0.0,0.0,1.0,AT-383972-01
0.0,1.0,0.0,AT-383972-02
0.0,0.0,0.0,AT-384438-01
0.0,0.0,0.0,AT-384438-02
1.0,1.0,0.0,AT-385446-01
1.0,1.0,0.0,AT-385446-02
0.0,1.0,0.0,AT-387071-01
0.0,0.0,0.0,AT-387966-01
0.0,0.0,0.0,AT-387966-02
0.0,0.0,0.0,AT-388036-01
0.0,0.0,0.0,AT-389218-01
0.0,0.0,0.0,AT-389218-02
0.0,1.0,0.0,AT-389413-01
0.0,0.0,1.0,AT-389413-02
0.0,0.0,0.0,AT-389802-01
0.0,0.0,0.0,AT-390066-01
0.0,0.0,0.0,AT-390738-01
0.0,0.0,0.0,AT-390738-02
0.0,0.0,0.0,AT-392101-01
0.0,1.0,0.0,AT-394032-01
0.0,0.0,0.0,AT-394032-02
0.0,0.0,0.0,AT-396144-01
0.0,0.0,0.0,AT-396984-01
0.0,0.0,0.0,AT-396984-02
0.0,0.0,0.0,AT-398745-01
0.0,0.0,0.0,AT-401952-01
0.0,0.0,0.0,AT-402312-01
0.0,0.0,0.0,AT-402374-01
0.0,0.0,0.0,AT-402374-02
0.0,0.0,0.0,AT-402982-01
0.0,0.0,0.0,AT-403735-01
0.0,0.0,0.0,AT-403735-02
0.0,0.0,0.0,AT-403982-01
0.0,1.0,0.0,AT-404388-01
0.0,1.0,0.0,AT-404388-02
0.0,0.0,0.0,AT-404497-01
